sample_id,location_code,region,latitude,longitude,collection_date,ph_level,organic_matter_pct,nitrogen_g_kg,phosphorus_mg_kg,potassium_mg_kg,bulk_density_g_cm3
SMP-126,AG-North-8,North Plains,45.3300,-93.4000,2026-07-14,5.6,2.7,1.3,21.0,130.0,1.31
SMP-127,AG-West-5,Western Plateau,38.5600,-105.2000,2026-07-15,7.5,1.3,0.7,14.0,90.0,1.50
SMP-128,AG-West-6,Western Plateau,38.5800,-105.1500,2026-07-16,7.1,1.9,1.0,20.0,115.0,1.40
SMP-129,AG-Coast-5,Coastal Basin,34.0700,-118.2200,2026-07-17,6.4,4.3,2.5,48.0,230.0,1.14
SMP-130,AG-Coast-6,Coastal Basin,34.1200,-118.1700,2026-07-18,6.0,3.7,2.0,39.0,190.0,1.23
SMP-131,AG-North-9,North Plains,45.1800,-93.6800,2026-07-19,5.3,2.3,1.1,17.0,118.0,1.37
SMP-132,AG-South-7,River Valley,36.0700,-89.3500,2026-07-20,4.6,1.3,0.4,9.0,70.0,1.52
SMP-133,AG-East-5,Highlands,40.7800,-78.8200,2026-07-21,6.8,4.7,2.6,53.0,280.0,1.09
SMP-134,AG-Coast-7,Coastal Basin,34.1700,-118.1300,2026-07-22,6.5,3.9,2.2,44.0,210.0,1.19
SMP-135,AG-West-7,Western Plateau,38.6400,-105.1000,2026-07-23,7.7,1.4,0.7,16.0,100.0,1.46
SMP-136,AG-North-10,North Plains,45.3700,-93.3500,2026-07-24,6.1,3.3,1.7,27.0,160.0,1.26
SMP-137,AG-South-8,River Valley,36.2300,-88.9000,2026-07-25,5.0,1.8,0.8,13.0,88.0,1.40
SMP-138,AG-East-6,Highlands,40.9100,-79.0500,2026-07-26,7.0,5.3,3.2,62.0,315.0,1.03
SMP-139,AG-Coast-8,Coastal Basin,34.2300,-118.0700,2026-07-27,6.2,3.5,1.8,33.0,175.0,1.25
SMP-140,AG-West-8,Western Plateau,38.4800,-105.3500,2026-07-28,7.3,1.0,0.4,10.0,75.0,1.57
SMP-141,AG-North-11,North Plains,45.2500,-93.5200,2026-07-29,5.7,2.9,1.4,23.0,135.0,1.30
SMP-142,AG-North-12,North Plains,45.2200,-93.5600,2026-07-30,6.3,3.6,2.0,32.0,175.0,1.21
SMP-143,AG-South-9,River Valley,36.1300,-89.1800,2026-07-31,4.9,1.7,0.7,12.5,82.0,1.47
SMP-144,AG-East-7,Highlands,40.8200,-78.9200,2026-08-01,7.4,5.1,3.0,59.0,305.0,1.05
SMP-145,AG-South-10,River Valley,36.1600,-89.0500,2026-08-02,6.1,3.1,1.7,29.0,168.0,1.24
SMP-146,AG-North-13,North Plains,45.3000,-93.4500,2026-08-03,5.9,2.8,1.4,22.5,142.0,1.29
SMP-147,AG-West-9,Western Plateau,38.5500,-105.1900,2026-08-04,7.6,1.3,0.7,14.5,92.0,1.51
SMP-148,AG-West-10,Western Plateau,38.5700,-105.1600,2026-08-05,7.2,1.8,0.9,19.5,112.0,1.41
SMP-149,AG-Coast-9,Coastal Basin,34.0600,-118.2300,2026-08-06,6.5,4.4,2.6,49.0,235.0,1.13
SMP-150,AG-Coast-10,Coastal Basin,34.1100,-118.1800,2026-08-07,6.1,3.7,2.0,40.0,192.0,1.22
SMP-151,AG-North-14,North Plains,45.2000,-93.6200,2026-08-08,5.4,2.3,1.0,17.2,116.0,1.38
SMP-152,AG-South-11,River Valley,36.0900,-89.2800,2026-08-09,4.7,1.4,0.5,10.2,76.0,1.49
SMP-153,AG-East-8,Highlands,40.7600,-78.8600,2026-08-10,6.9,4.8,2.7,54.0,285.0,1.08
SMP-154,AG-Coast-11,Coastal Basin,34.1600,-118.1400,2026-08-11,6.6,4.0,2.3,45.5,215.0,1.18
SMP-155,AG-West-11,Western Plateau,38.6100,-105.1300,2026-08-12,7.6,1.5,0.8,16.8,104.0,1.45
SMP-156,AG-North-15,North Plains,45.3400,-93.3700,2026-08-13,6.0,3.2,1.6,24.5,152.0,1.27
SMP-157,AG-South-12,River Valley,36.2000,-88.9700,2026-08-14,5.1,1.9,0.9,13.8,89.0,1.39
SMP-158,AG-East-9,Highlands,40.8800,-78.9900,2026-08-15,7.1,5.4,3.3,64.0,325.0,1.02
SMP-159,AG-Coast-12,Coastal Basin,34.2000,-118.1000,2026-08-16,6.3,3.6,1.9,34.5,178.0,1.24
SMP-160,AG-West-12,Western Plateau,38.5000,-105.3000,2026-08-17,7.4,1.1,0.5,10.8,78.0,1.54
SMP-161,AG-North-16,North Plains,45.2400,-93.5500,2026-05-13,5.3,2.5,1.2,19.0,122.0,1.34
SMP-162,AG-North-17,North Plains,45.2600,-93.4800,2026-05-15,6.7,4.0,2.2,43.0,205.0,1.16
SMP-163,AG-South-13,River Valley,36.1100,-89.2400,2026-05-19,4.8,1.5,0.6,11.5,81.0,1.48
SMP-164,AG-East-10,Highlands,40.8000,-78.9500,2026-06-02,7.4,5.1,3.0,59.0,305.0,1.05
SMP-165,AG-South-14,River Valley,36.1500,-89.0400,2026-06-04,6.2,3.0,1.7,28.5,166.0,1.25
SMP-166,AG-North-18,North Plains,45.3200,-93.4100,2026-06-06,5.9,2.8,1.4,22.5,141.0,1.30
SMP-167,AG-West-13,Western Plateau,38.5300,-105.2300,2026-06-09,7.7,1.2,0.6,14.5,92.0,1.52
SMP-168,AG-West-14,Western Plateau,38.5900,-105.1700,2026-06-11,7.2,1.8,0.9,19.2,111.0,1.41
SMP-169,AG-Coast-13,Coastal Basin,34.0400,-118.2500,2026-06-13,6.5,4.5,2.7,51.0,242.0,1.12
SMP-170,AG-Coast-14,Coastal Basin,34.0900,-118.2000,2026-06-15,6.1,3.8,2.1,42.0,196.0,1.22
SMP-171,AG-North-19,North Plains,45.2100,-93.6400,2026-06-16,5.4,2.2,1.0,16.8,115.5,1.38
SMP-172,AG-South-15,River Valley,36.0800,-89.3300,2026-06-19,4.7,1.4,0.5,9.8,74.0,1.51
SMP-173,AG-East-11,Highlands,40.7400,-78.8700,2026-06-21,6.9,4.8,2.8,55.5,292.0,1.08
SMP-174,AG-Coast-15,Coastal Basin,34.1400,-118.1600,2026-06-23,6.6,4.0,2.4,46.5,222.0,1.18
SMP-175,AG-West-15,Western Plateau,38.6300,-105.1100,2026-06-26,7.6,1.5,0.8,17.2,106.0,1.45
SMP-176,AG-North-20,North Plains,45.3600,-93.3600,2026-06-29,6.0,3.2,1.6,25.5,156.0,1.28
SMP-177,AG-South-16,River Valley,36.2200,-88.9300,2026-07-01,5.1,1.9,0.9,13.8,89.5,1.39
SMP-178,AG-East-12,Highlands,40.9000,-79.0300,2026-07-03,7.1,5.5,3.4,65.5,332.0,1.02
SMP-179,AG-Coast-16,Coastal Basin,34.2200,-118.0800,2026-07-06,6.3,3.6,1.9,35.5,182.0,1.24
SMP-180,AG-West-16,Western Plateau,38.4900,-105.3200,2026-07-09,7.4,1.1,0.5,11.2,81.0,1.55
SMP-181,AG-North-21,North Plains,45.2700,-93.5000,2026-07-10,5.5,2.6,1.2,20.2,126.0,1.32
SMP-182,AG-North-22,North Plains,45.2000,-93.6000,2026-07-11,6.2,3.5,1.9,30.2,171.0,1.22
SMP-183,AG-South-17,River Valley,36.1300,-89.1600,2026-07-12,4.8,1.6,0.6,11.2,81.0,1.46
SMP-184,AG-East-13,Highlands,40.8100,-78.9100,2026-07-13,7.3,5.0,2.9,58.2,302.0,1.06
SMP-185,AG-South-18,River Valley,36.1700,-89.0600,2026-07-14,5.9,2.9,1.5,26.2,152.0,1.27
SMP-186,AG-North-23,North Plains,45.3200,-93.3900,2026-07-15,5.6,2.7,1.3,21.2,131.0,1.31
SMP-187,AG-West-17,Western Plateau,38.5500,-105.2100,2026-07-16,7.5,1.3,0.7,14.2,91.0,1.50
SMP-188,AG-West-18,Western Plateau,38.5700,-105.1400,2026-07-17,7.1,1.9,1.0,20.2,116.0,1.40
SMP-189,AG-Coast-17,Coastal Basin,34.0600,-118.2100,2026-07-18,6.4,4.3,2.5,48.2,232.0,1.14
SMP-190,AG-Coast-18,Coastal Basin,34.1300,-118.1600,2026-07-19,6.0,3.7,2.0,39.2,191.0,1.23
SMP-191,AG-North-24,North Plains,45.1700,-93.6900,2026-07-20,5.3,2.3,1.1,17.2,119.0,1.37
SMP-192,AG-South-19,River Valley,36.0600,-89.3600,2026-07-21,4.6,1.3,0.4,9.2,71.0,1.52
SMP-193,AG-East-14,Highlands,40.7700,-78.8100,2026-07-22,6.8,4.7,2.6,53.2,282.0,1.09
SMP-194,AG-Coast-19,Coastal Basin,34.1800,-118.1200,2026-07-23,6.5,3.9,2.2,44.2,212.0,1.19
SMP-195,AG-West-19,Western Plateau,38.6500,-105.0900,2026-07-24,7.7,1.4,0.7,16.2,102.0,1.46
SMP-196,AG-North-25,North Plains,45.3800,-93.3400,2026-07-25,6.1,3.3,1.7,27.2,162.0,1.26
SMP-197,AG-South-20,River Valley,36.2400,-88.8800,2026-07-26,5.0,1.8,0.8,13.2,89.0,1.40
SMP-198,AG-East-15,Highlands,40.9200,-79.0600,2026-07-27,7.0,5.3,3.2,62.2,317.0,1.03
SMP-199,AG-Coast-20,Coastal Basin,34.2400,-118.0600,2026-07-28,6.2,3.5,1.8,33.2,177.0,1.25
SMP-200,AG-West-20,Western Plateau,38.4700,-105.3600,2026-07-29,7.3,1.0,0.4,10.2,76.0,1.57
